ID Earthquake,Flag Tsunami,Year,Month,Focal Depth,EQ Primary,Mw Magnitude,Ms Magnitude,Mb Magnitude,Intensity,Country,State,Location name,Region code,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Latitude,Longitude
6697,Tsunami,1500,,,,,,,,USA,HI,HAWAII,150.0,,,,,,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,,,,
6017,Tsunami,1510,10.0,,7.0,,7.0,,,JAPAN,,JAPAN:  ENSHUNADA SEA,30.0,,,,,,,,,,,,,,,,,,,,,,,,,34.5, 137.6
5950,Tsunami,1510,9.0,,6.7,,6.7,,,JAPAN,,"SEIONAIKAI, JAPAN",30.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,34.6, 135.4
5951,Tsunami,1520,4.0,,7.0,,7.0,,,JAPAN,,"JAPAN:  KII, KUMANANONADA",30.0,,,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),,,33.6, 136.3
690,,1520,,,,,,,10.0,CHILE,,CHILE,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-40.0, -74.0
10434,,1522,10.0,,,,,,10.0,AZORES (PORTUGAL),,AZORES:  SAO MIGUEL ISLAND,130.0,5000.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Very Many (~1001 or more houses),5000.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Very Many (~1001 or more houses),37.7, -25.4
697,,1523,,,,,,,,MEXICO,,MEXICO:  VERACRUZ,150.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,SEVERE (~>$5 to $24 million),,,,,19.2, -96.4
9790,Tsunami,1537,,,,,,,,MEXICO,,MEXICO:  SOUTHERN,150.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,
708,,1538,,,,,,,,MEXICO,,MEXICO:  MEXICO CITY,150.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,SEVERE (~>$5 to $24 million),,,,,19.2, -99.1
710,,1542,3.0,,,,,,,MEXICO,,MEXICO:  MEXICO CITY,150.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,19.2, -99.1
716,,1543,,,,,,,10.0,CHILE,,CHILE,160.0,,Few (~1 to 50 deaths),,,,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,,,-19.0, -70.5
6037,Tsunami,1545,2.0,,,,,,,JAPAN,,JAPAN:  IZU PENINSULA,30.0,,,,,,,,,,,,,,,,,,,,,,,,,34.8, 139.0
720,,1547,5.0,,,,,,10.0,AZORES (PORTUGAL),,"AZORES:  SANTA BARBARA, FREGUES",130.0,,,,,,,,,,,,,,,,,,,,,,,,,38.7, -27.3
744,Tsunami,1562,10.0,,8.0,,8.0,,11.0,CHILE,,CHILE,160.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,-38.7, -73.5
751,,1566,,,7.8,,,,7.0,COLOMBIA,,COLOMBIA,160.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0, -77.3
755,,1568,12.0,,,,,,,MEXICO,,"MEXICO:  COCULA,JALISCO",150.0,60.0,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,60.0,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,20.2, -103.5
757,Tsunami,1570,2.0,,8.3,,8.3,,11.0,CHILE,,CHILE:  OLD CONCEPCION,160.0,,,,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,2000.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,-36.75, -73.0
760,,1573,,,,,,,,MEXICO,,MEXICO:  COLIMA,150.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,SEVERE (~>$5 to $24 million),,,,,19.2, -104.0
767,Tsunami,1575,12.0,,8.5,,8.5,,10.0,CHILE,,CHILE:  VALDIVIA,160.0,21.0,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,1321.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Some (~51 to 100 houses),,,-39.8, -73.2
5957,Tsunami,1586,1.0,,8.2,,8.2,,,JAPAN,,JAPAN:  ISE BAY,30.0,8000.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),10000.0,Very Many (~1001 or more houses),,,8000.0,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),10000.0,Very Many (~1001 or more houses),,,35.0, 136.8
6038,Tsunami,1589,3.0,,6.7,,6.7,,,JAPAN,,"SURUGA, JAPAN",30.0,,,,,,,,,,,,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,34.8, 138.2
802,Tsunami,1591,7.0,,,,,,10.0,AZORES (PORTUGAL),,AZORES:  SAO MIGUEL (SAN MIGUEL),130.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,37.783, -25.5
808,Tsunami,1596,9.0,,6.9,,6.9,,,JAPAN,,JAPAN:  BEPPU BAY,30.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,708.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),80.0,Some (~51 to 100 houses),,,33.3, 131.7
5958,Tsunami,1597,9.0,,6.4,,6.4,,,JAPAN,,JAPAN:  BEPPU BAY,30.0,,,,,,,,,,,,,40.0,Few (~1 to 50 deaths),,,,,,,,,,,33.3, 131.6
812,,1599,6.0,,,,,,8.0,PHILIPPINES,,PHILIPPINES:  MANILA,170.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,14.6, 121.0
816,,1600,11.0,,,,,,6.0,PHILIPPINES,,PHILIPPINES:  MANILA,170.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,14.6, 121.0
818,,1601,1.0,,,,,,8.0,PHILIPPINES,,PHILIPPINES:  MANILA,170.0,,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,14.6, 121.0
